date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
06/12/2025,R.Union St.-Gilloise A,K.AA.Gent A,1,1,1645.04,1485.9,0.7142,0.2858,0.5,0.5,1.0,1638.61,1492.32
06/12/2025,K.St.-Truidense VV. A,Club Brugge KV. A,3,2,1559.78,1568.66,0.4872,0.5128,1.0,0.0,1.0,1575.16,1553.27
07/12/2025,Oud-Heverlee Leuven A,SV.Zulte Waregem A,1,1,1436.69,1508.24,0.3985,0.6015,0.5,0.5,1.0,1439.74,1505.19
07/12/2025,R.Antwerp F.C. A,K.RC.Genk A,3,0,1462.07,1513.72,0.4262,0.5738,1.0,0.0,1.75,1492.2,1483.6
07/12/2025,K.VC.Westerlo A,R.SC.Anderlecht A,4,0,1451.53,1599.09,0.2996,0.7004,1.0,0.0,1.875,1490.93,1559.69
07/12/2025,Yellow-Red KV.Mechelen A,SP du Pays de Charleroi A,1,0,1508.38,1471.83,0.5524,0.4476,1.0,0.0,1.0,1521.81,1458.4
12/12/2025,R.Standard de Liège A,Oud-Heverlee Leuven A,0,1,1503.99,1439.74,0.5914,0.4086,0.0,1.0,1.0,1486.25,1457.48
13/12/2025,Cercle Brugge K.SV. A,Yellow-Red KV.Mechelen A,2,3,1427.73,1521.81,0.3678,0.6322,0.0,1.0,1.0,1416.7,1532.84
13/12/2025,SV.Zulte Waregem A,RAAL La Louviere A,2,2,1505.19,1443.92,0.5873,0.4127,0.5,0.5,1.0,1502.57,1446.54
13/12/2025,R.SC.Anderlecht A,K.St.-Truidense VV. A,2,1,1559.69,1575.16,0.4777,0.5223,1.0,0.0,1.0,1575.36,1559.49
14/12/2025,K.AA.Gent A,R.Antwerp F.C. A,0,2,1492.32,1492.2,0.5002,0.4998,0.0,1.0,1.625,1467.94,1516.58
14/12/2025,FC.V.Dender E.H.,Club Brugge KV. A,1,5,1413.43,1553.27,0.309,0.691,0.0,1.0,1.875,1396.05,1570.65
14/12/2025,SP du Pays de Charleroi A,R.Union St.-Gilloise A,1,1,1458.4,1638.61,0.2617,0.7383,0.5,0.5,1.0,1465.55,1631.46
14/12/2025,K.RC.Genk A,K.VC.Westerlo A,1,1,1483.6,1490.93,0.4894,0.5106,0.5,0.5,1.0,1483.92,1490.62
19/12/2025,SP du Pays de Charleroi A,K.RC.Genk A,,,1465.55,1483.92,0.4736,0.5264,,,0.0,1465.55,1483.92
20/12/2025,FC.V.Dender E.H.,R.Standard de Liège A,,,1396.05,1486.25,0.373,0.627,,,0.0,1396.05,1486.25
20/12/2025,K.VC.Westerlo A,RAAL La Louviere A,,,1490.62,1446.54,0.5631,0.4369,,,0.0,1490.62,1446.54
20/12/2025,R.Union St.-Gilloise A,SV.Zulte Waregem A,,,1631.46,1502.57,0.6774,0.3226,,,0.0,1631.46,1502.57
21/12/2025,Oud-Heverlee Leuven A,Cercle Brugge K.SV. A,,,1457.48,1416.7,0.5584,0.4416,,,0.0,1457.48,1416.7
21/12/2025,R.Antwerp F.C. A,R.SC.Anderlecht A,,,1516.58,1575.36,0.4162,0.5838,,,0.0,1516.58,1575.36
21/12/2025,Club Brugge KV. A,K.AA.Gent A,,,1570.65,1467.94,0.6437,0.3563,,,0.0,1570.65,1467.94
21/12/2025,K.St.-Truidense VV. A,Yellow-Red KV.Mechelen A,,,1559.49,1532.84,0.5383,0.4617,,,0.0,1559.49,1532.84
26/12/2025,K.RC.Genk A,Club Brugge KV. A,,,1483.92,1570.65,0.3777,0.6223,,,0.0,1483.92,1570.65
26/12/2025,Cercle Brugge K.SV. A,R.Union St.-Gilloise A,,,1416.7,1631.46,0.2251,0.7749,,,0.0,1416.7,1631.46
26/12/2025,R.Standard de Liège A,K.St.-Truidense VV. A,,,1486.25,1559.49,0.3961,0.6039,,,0.0,1486.25,1559.49
26/12/2025,R.SC.Anderlecht A,SP du Pays de Charleroi A,,,1575.36,1465.55,0.653,0.347,,,0.0,1575.36,1465.55
27/12/2025,R.Antwerp F.C. A,SV.Zulte Waregem A,,,1516.58,1502.57,0.5201,0.4799,,,0.0,1516.58,1502.57
27/12/2025,RAAL La Louviere A,Oud-Heverlee Leuven A,,,1446.54,1457.48,0.4843,0.5157,,,0.0,1446.54,1457.48
27/12/2025,Yellow-Red KV.Mechelen A,FC.V.Dender E.H.,,,1532.84,1396.05,0.6873,0.3127,,,0.0,1532.84,1396.05
27/12/2025,K.AA.Gent A,K.VC.Westerlo A,,,1467.94,1490.62,0.4674,0.5326,,,0.0,1467.94,1490.62
18/01/2026,K.AA.Gent A,R.SC.Anderlecht A,,,1467.94,1575.36,0.3502,0.6498,,,0.0,1467.94,1575.36
18/01/2026,Club Brugge KV. A,RAAL La Louviere A,,,1570.65,1446.54,0.6714,0.3286,,,0.0,1570.65,1446.54
18/01/2026,K.St.-Truidense VV. A,Oud-Heverlee Leuven A,,,1559.49,1457.48,0.6427,0.3573,,,0.0,1559.49,1457.48
18/01/2026,SV.Zulte Waregem A,K.RC.Genk A,,,1502.57,1483.92,0.5268,0.4732,,,0.0,1502.57,1483.92
18/01/2026,K.VC.Westerlo A,Cercle Brugge K.SV. A,,,1490.62,1416.7,0.6048,0.3952,,,0.0,1490.62,1416.7
18/01/2026,R.Union St.-Gilloise A,Yellow-Red KV.Mechelen A,,,1631.46,1532.84,0.6382,0.3618,,,0.0,1631.46,1532.84
18/01/2026,SP du Pays de Charleroi A,R.Standard de Liège A,,,1465.55,1486.25,0.4702,0.5298,,,0.0,1465.55,1486.25
18/01/2026,FC.V.Dender E.H.,R.Antwerp F.C. A,,,1396.05,1516.58,0.3332,0.6668,,,0.0,1396.05,1516.58
25/01/2026,Club Brugge KV. A,SV.Zulte Waregem A,,,1570.65,1502.57,0.5967,0.4033,,,0.0,1570.65,1502.57
25/01/2026,R.SC.Anderlecht A,FC.V.Dender E.H.,,,1575.36,1396.05,0.7373,0.2627,,,0.0,1575.36,1396.05
25/01/2026,RAAL La Louviere A,K.St.-Truidense VV. A,,,1446.54,1559.49,0.3429,0.6571,,,0.0,1446.54,1559.49
25/01/2026,Oud-Heverlee Leuven A,R.Union St.-Gilloise A,,,1457.48,1631.46,0.2686,0.7314,,,0.0,1457.48,1631.46
25/01/2026,R.Standard de Liège A,K.AA.Gent A,,,1486.25,1467.94,0.5263,0.4737,,,0.0,1486.25,1467.94
25/01/2026,Yellow-Red KV.Mechelen A,K.VC.Westerlo A,,,1532.84,1490.62,0.5605,0.4395,,,0.0,1532.84,1490.62
25/01/2026,K.RC.Genk A,Cercle Brugge K.SV. A,,,1483.92,1416.7,0.5955,0.4045,,,0.0,1483.92,1416.7
25/01/2026,R.Antwerp F.C. A,SP du Pays de Charleroi A,,,1516.58,1465.55,0.5729,0.4271,,,0.0,1516.58,1465.55
01/02/2026,SV.Zulte Waregem A,K.VC.Westerlo A,,,1502.57,1490.62,0.5172,0.4828,,,0.0,1502.57,1490.62
